username,is_student,is_staff,is_teacher
53b5aa90df5b2d02b41e9e25cb22d6c2791a442213b9dd9ea6194706feb46956,1,0,0
c03c3b6bcdaa1abd5e2342b44c10f300f91f7adf38393e4a5a40671fb76a9bc7,1,0,0
b83826981be9d09bcb9c07b7a8d847c386d2a1182114e5e1cc0d3d96d3a66b24,1,0,0
2942132c62fd0ebe657d305004e8b084aec4f4d33a5639755c84fcc5a3528213,1,0,0
59ceb6bb1b6ef07348f685851fc3da2a721416abf276158b6b106d7f683aaf34,1,0,0
317803e7e012266e1f2727c272cf5447675623c618fedb1bb3adbec29eaf37c4,1,0,0
19770f1c2f7767727e0d29c962dc3461752fa83746c4ac08ec083f386ff3dd4a,1,0,0
10134623b363499d78a046285fefb0231ffd02cbaa668ce96e4084ef20d0fa1c,1,0,0
21347c2a3dc1b2966002085d05e1723a32c33ab5704949bf7b8276f243188d32,1,0,0
1b3c0398a0e94f6e1b0bf0df778385d216ecb8737fe813f625637cfda3346e08,1,0,0
602873c3fbea94ff1e212937f68cc94eacd2b7a4b3bddb632fab74ef58e28ccd,1,0,0
523a3e06fbe6d995bd7eeb669a6c7a7d0695dd474d50cea353573d0426f616b4,1,0,0
5d30bb668a10dba2b854b44fcf13f8d56fcd8be6f2a0ec73bd4ac492b5a2f289,1,0,0
a14a323bf8f25bc0af95d83b86d943ae94abda8068b92edaa2eb5f9ceda6501d,1,0,0
420eff4a8f4508c674ce06f87b333dc5355bf9ec36fa89df645c4c1be4993636,1,0,0
3a04a62eb944b3f7ba7d1b97a9fc988ec94cecbb2ef0b681bdb616410728ed84,1,0,0
4768a92c878a01053b49fbdf057d1a64566c8e51ed310f3a875b06dd44dbe209,1,0,0
33b9a5955d883d46ebe9b98d45e7f530831763b7d26a84caace3d6c8895590b5,1,0,0
bb167eafb7dd40ec48c79ab1666675646902069981992500eb09856cecc29af3,1,0,0
35e83b9972f0a9805b4eb191a311e14c1e09b577e39a635532dbda2af4457f22,1,0,0
974d7ba6396bb2f37588cdf464e1f3eb40d7ff14fd872bf9db26380901331716,1,0,0
456fba2de6a2e3bf8a2876c0da52ce832b0057606d4a64beebf0ae8a62af0c41,1,0,0
f9a22bf8722d8351fa9b60a1c1ee1149c7a1bfa0d27b05fca0ece1faa3f63ed1,1,0,0
c4a3b6e81ce6062aa496dab739abac3e905cad348e55c5cbd79904e08f586108,1,0,0
b05c76e38e6ed8d342db251a20f5344371b17f066c3c0e3c15d9e5180dcc1987,1,0,0
cb25acde4fe175866ca9c69b15569d2a0cd86c52ec6d56312613fa99eb0daa5c,1,0,0
2d8a6f5799f704e8af475f2983fef757fae966c1f37e2ad10ceb92fac7c109e2,1,0,0
347534fb888942baffd5bb96b0fd3f9fd39a356cb654e50c5c9a37f55f3a5187,1,0,0
2ca2d726bd96087991c9a5490dd3ae6af431decee8418447257086ab2e6512c0,1,0,0
c9d35ae4a64a248c4cd38ab6072ca560027bae42355bd049e318db5795a6d355,1,0,0
7873ec029e51096c247d315663b9ce67f447444c4e76fef2a5f0b7aad5739366,1,0,0
f4ac9a38822d10f212b6cb17c51063dece8d57e50ac7159781486f950b24f3a0,1,0,0
